Label,classification_title,classification_contents
조별리그,"[{'label': 'negative', 'score': 0.9811462163925171}]","[{'label': 'neutral', 'score': 0.9796878099441528}]"
조별리그,"[{'label': 'neutral', 'score': 0.9074152708053589}]","[{'label': 'neutral', 'score': 0.9903568625450134}]"
조별리그,"[{'label': 'neutral', 'score': 0.9983190894126892}]","[{'label': 'neutral', 'score': 0.9977218508720398}]"
조별리그,"[{'label': 'negative', 'score': 0.9350079298019409}]","[{'label': 'negative', 'score': 0.9951609969139099}]"
조별리그,"[{'label': 'neutral', 'score': 0.9926250576972961}]","[{'label': 'neutral', 'score': 0.8668433427810669}]"
조별리그,"[{'label': 'negative', 'score': 0.9820122718811035}]","[{'label': 'neutral', 'score': 0.9186508655548096}]"
조별리그,"[{'label': 'neutral', 'score': 0.7565304636955261}]","[{'label': 'neutral', 'score': 0.9630537033081055}]"
조별리그,"[{'label': 'neutral', 'score': 0.9959858059883118}]","[{'label': 'neutral', 'score': 0.9996161460876465}]"
조별리그,"[{'label': 'negative', 'score': 0.6294074654579163}]","[{'label': 'neutral', 'score': 0.8579595685005188}]"
조별리그,"[{'label': 'neutral', 'score': 0.9984028935432434}]","[{'label': 'neutral', 'score': 0.9992672801017761}]"
조별리그,"[{'label': 'neutral', 'score': 0.8486549854278564}]","[{'label': 'neutral', 'score': 0.9965901374816895}]"
조별리그,"[{'label': 'negative', 'score': 0.6694031953811646}]","[{'label': 'neutral', 'score': 0.9604685306549072}]"
조별리그,"[{'label': 'neutral', 'score': 0.710079550743103}]","[{'label': 'neutral', 'score': 0.8952915668487549}]"
조별리그,"[{'label': 'neutral', 'score': 0.9946553707122803}]","[{'label': 'neutral', 'score': 0.999071478843689}]"
조별리그,"[{'label': 'neutral', 'score': 0.5766366124153137}]","[{'label': 'negative', 'score': 0.8656113147735596}]"
조별리그,"[{'label': 'neutral', 'score': 0.9800487756729126}]","[{'label': 'neutral', 'score': 0.9889750480651855}]"
조별리그,"[{'label': 'neutral', 'score': 0.8990828990936279}]","[{'label': 'neutral', 'score': 0.9885380268096924}]"
16~8강,"[{'label': 'neutral', 'score': 0.5635807514190674}]","[{'label': 'negative', 'score': 0.9197495579719543}]"
16~8강,"[{'label': 'neutral', 'score': 0.9492102861404419}]","[{'label': 'positive', 'score': 0.940968930721283}]"
16~8강,"[{'label': 'neutral', 'score': 0.9919256567955017}]","[{'label': 'neutral', 'score': 0.9604041576385498}]"
16~8강,"[{'label': 'neutral', 'score': 0.9975695013999939}]","[{'label': 'neutral', 'score': 0.9990457892417908}]"
16~8강,"[{'label': 'neutral', 'score': 0.9864022135734558}]","[{'label': 'neutral', 'score': 0.9903501272201538}]"
16~8강,"[{'label': 'neutral', 'score': 0.9959648847579956}]","[{'label': 'neutral', 'score': 0.9975776076316833}]"
16~8강,"[{'label': 'neutral', 'score': 0.9777305126190186}]","[{'label': 'neutral', 'score': 0.986626923084259}]"
16~8강,"[{'label': 'neutral', 'score': 0.9926733374595642}]","[{'label': 'neutral', 'score': 0.9990783929824829}]"
16~8강,"[{'label': 'neutral', 'score': 0.8953148722648621}]","[{'label': 'neutral', 'score': 0.9989381432533264}]"
16~8강,"[{'label': 'neutral', 'score': 0.8747790455818176}]","[{'label': 'negative', 'score': 0.97026526927948}]"
16~8강,"[{'label': 'negative', 'score': 0.8896487355232239}]","[{'label': 'negative', 'score': 0.6779801249504089}]"
16~8강,"[{'label': 'neutral', 'score': 0.8953148722648621}]","[{'label': 'neutral', 'score': 0.9989381432533264}]"
16~8강,"[{'label': 'negative', 'score': 0.8592969179153442}]","[{'label': 'neutral', 'score': 0.8955368399620056}]"
16~8강,"[{'label': 'neutral', 'score': 0.9919256567955017}]","[{'label': 'neutral', 'score': 0.9604041576385498}]"
16~8강,"[{'label': 'neutral', 'score': 0.9713869094848633}]","[{'label': 'neutral', 'score': 0.803929328918457}]"
16~8강,"[{'label': 'neutral', 'score': 0.8747790455818176}]","[{'label': 'negative', 'score': 0.97026526927948}]"
16~8강,"[{'label': 'neutral', 'score': 0.9243552684783936}]","[{'label': 'neutral', 'score': 0.9990887641906738}]"
16~8강,"[{'label': 'neutral', 'score': 0.998708963394165}]","[{'label': 'neutral', 'score': 0.9911393523216248}]"
16~8강,"[{'label': 'negative', 'score': 0.8084719777107239}]","[{'label': 'negative', 'score': 0.9778941869735718}]"
16~8강,"[{'label': 'neutral', 'score': 0.9690285921096802}]","[{'label': 'neutral', 'score': 0.7181131839752197}]"
16~8강,"[{'label': 'negative', 'score': 0.9438909292221069}]","[{'label': 'neutral', 'score': 0.9924193024635315}]"
16~8강,"[{'label': 'neutral', 'score': 0.9992024302482605}]","[{'label': 'neutral', 'score': 0.997534990310669}]"
16~8강,"[{'label': 'neutral', 'score': 0.9981258511543274}]","[{'label': 'neutral', 'score': 0.9841315150260925}]"
16~8강,"[{'label': 'neutral', 'score': 0.9972580671310425}]","[{'label': 'neutral', 'score': 0.9916402101516724}]"
16~8강,"[{'label': 'neutral', 'score': 0.948971688747406}]","[{'label': 'neutral', 'score': 0.9549771547317505}]"
16~8강,"[{'label': 'neutral', 'score': 0.9892387390136719}]","[{'label': 'neutral', 'score': 0.9426349997520447}]"
16~8강,"[{'label': 'neutral', 'score': 0.9836326241493225}]","[{'label': 'neutral', 'score': 0.880625307559967}]"
16~8강,"[{'label': 'neutral', 'score': 0.9836634397506714}]","[{'label': 'neutral', 'score': 0.9955378770828247}]"
16~8강,"[{'label': 'neutral', 'score': 0.9961109757423401}]","[{'label': 'neutral', 'score': 0.9975783228874207}]"
16~8강,"[{'label': 'neutral', 'score': 0.9663062691688538}]","[{'label': 'neutral', 'score': 0.9467964768409729}]"
16~8강,"[{'label': 'neutral', 'score': 0.5421767830848694}]","[{'label': 'positive', 'score': 0.5299341082572937}]"
16~8강,"[{'label': 'neutral', 'score': 0.9947983026504517}]","[{'label': 'neutral', 'score': 0.9967144727706909}]"
16~8강,"[{'label': 'neutral', 'score': 0.9698144793510437}]","[{'label': 'neutral', 'score': 0.9968082308769226}]"
16~8강,"[{'label': 'negative', 'score': 0.878385603427887}]","[{'label': 'neutral', 'score': 0.945723295211792}]"
16~8강,"[{'label': 'neutral', 'score': 0.9991970658302307}]","[{'label': 'neutral', 'score': 0.9917283654212952}]"
16~8강,"[{'label': 'neutral', 'score': 0.999277651309967}]","[{'label': 'neutral', 'score': 0.9991028308868408}]"
16~8강,"[{'label': 'neutral', 'score': 0.9941872358322144}]","[{'label': 'neutral', 'score': 0.9872854351997375}]"
16~8강,"[{'label': 'neutral', 'score': 0.9678749442100525}]","[{'label': 'negative', 'score': 0.5581806302070618}]"
16~8강,"[{'label': 'neutral', 'score': 0.9910140633583069}]","[{'label': 'neutral', 'score': 0.8312057852745056}]"
16~8강,"[{'label': 'neutral', 'score': 0.9976390600204468}]","[{'label': 'neutral', 'score': 0.9848067760467529}]"
16~8강,"[{'label': 'neutral', 'score': 0.9930186867713928}]","[{'label': 'negative', 'score': 0.7441849112510681}]"
16~8강,"[{'label': 'neutral', 'score': 0.9951884746551514}]","[{'label': 'neutral', 'score': 0.901409924030304}]"
16~8강,"[{'label': 'neutral', 'score': 0.9828706979751587}]","[{'label': 'neutral', 'score': 0.9868473410606384}]"
16~8강,"[{'label': 'neutral', 'score': 0.9968775510787964}]","[{'label': 'neutral', 'score': 0.9986807703971863}]"
16~8강,"[{'label': 'neutral', 'score': 0.9980581402778625}]","[{'label': 'neutral', 'score': 0.9993095397949219}]"
16~8강,"[{'label': 'neutral', 'score': 0.9960873126983643}]","[{'label': 'neutral', 'score': 0.9977853298187256}]"
16~8강,"[{'label': 'neutral', 'score': 0.9987320303916931}]","[{'label': 'neutral', 'score': 0.9989734888076782}]"
16~8강,"[{'label': 'neutral', 'score': 0.9965848922729492}]","[{'label': 'neutral', 'score': 0.9975767731666565}]"
16~8강,"[{'label': 'negative', 'score': 0.5259348154067993}]","[{'label': 'neutral', 'score': 0.9959562420845032}]"
16~8강,"[{'label': 'neutral', 'score': 0.9975051283836365}]","[{'label': 'neutral', 'score': 0.9949500560760498}]"
16~8강,"[{'label': 'neutral', 'score': 0.9780880212783813}]","[{'label': 'neutral', 'score': 0.9789938926696777}]"
16~8강,"[{'label': 'neutral', 'score': 0.9856970310211182}]","[{'label': 'neutral', 'score': 0.9969688057899475}]"
16~8강,"[{'label': 'neutral', 'score': 0.9672817587852478}]","[{'label': 'neutral', 'score': 0.8774336576461792}]"
16~8강,"[{'label': 'negative', 'score': 0.632739782333374}]","[{'label': 'neutral', 'score': 0.9938828945159912}]"
16~8강,"[{'label': 'neutral', 'score': 0.9986578226089478}]","[{'label': 'neutral', 'score': 0.9985246062278748}]"
16~8강,"[{'label': 'neutral', 'score': 0.7116941213607788}]","[{'label': 'positive', 'score': 0.9130226373672485}]"
16~8강,"[{'label': 'neutral', 'score': 0.998236894607544}]","[{'label': 'neutral', 'score': 0.9985246062278748}]"
16~8강,"[{'label': 'neutral', 'score': 0.9994049072265625}]","[{'label': 'neutral', 'score': 0.9995152950286865}]"
16~8강,"[{'label': 'negative', 'score': 0.9696518182754517}]","[{'label': 'negative', 'score': 0.9775031805038452}]"
16~8강,"[{'label': 'neutral', 'score': 0.9678030610084534}]","[{'label': 'neutral', 'score': 0.9902650117874146}]"
16~8강,"[{'label': 'neutral', 'score': 0.5938591361045837}]","[{'label': 'neutral', 'score': 0.9582799077033997}]"
16~8강,"[{'label': 'neutral', 'score': 0.9585526585578918}]","[{'label': 'neutral', 'score': 0.9836840629577637}]"
16~8강,"[{'label': 'neutral', 'score': 0.9955143332481384}]","[{'label': 'neutral', 'score': 0.9987404942512512}]"
16~8강,"[{'label': 'neutral', 'score': 0.9876918196678162}]","[{'label': 'neutral', 'score': 0.9953455328941345}]"
16~8강,"[{'label': 'neutral', 'score': 0.9360441565513611}]","[{'label': 'neutral', 'score': 0.9774218797683716}]"
16~8강,"[{'label': 'neutral', 'score': 0.9617339372634888}]","[{'label': 'negative', 'score': 0.9135843515396118}]"
16~8강,"[{'label': 'neutral', 'score': 0.9918577075004578}]","[{'label': 'neutral', 'score': 0.9967051148414612}]"
16~8강,"[{'label': 'neutral', 'score': 0.9782310128211975}]","[{'label': 'neutral', 'score': 0.9733518362045288}]"
16~8강,"[{'label': 'neutral', 'score': 0.9504684209823608}]","[{'label': 'neutral', 'score': 0.9867511987686157}]"
16~8강,"[{'label': 'neutral', 'score': 0.9928130507469177}]","[{'label': 'neutral', 'score': 0.9735923409461975}]"
16~8강,"[{'label': 'neutral', 'score': 0.9803609251976013}]","[{'label': 'neutral', 'score': 0.9680643677711487}]"
16~8강,"[{'label': 'neutral', 'score': 0.9293211102485657}]","[{'label': 'neutral', 'score': 0.9615641832351685}]"
16~8강,"[{'label': 'neutral', 'score': 0.9966691136360168}]","[{'label': 'negative', 'score': 0.559405505657196}]"
16~8강,"[{'label': 'neutral', 'score': 0.9981719255447388}]","[{'label': 'neutral', 'score': 0.9902135729789734}]"
16~8강,"[{'label': 'neutral', 'score': 0.9832736253738403}]","[{'label': 'neutral', 'score': 0.9990457892417908}]"
16~8강,"[{'label': 'neutral', 'score': 0.7979145646095276}]","[{'label': 'neutral', 'score': 0.9806899428367615}]"
16~8강,"[{'label': 'neutral', 'score': 0.9985515475273132}]","[{'label': 'neutral', 'score': 0.9967818260192871}]"
16~8강,"[{'label': 'neutral', 'score': 0.9757454991340637}]","[{'label': 'neutral', 'score': 0.8093189597129822}]"
16~8강,"[{'label': 'negative', 'score': 0.7914852499961853}]","[{'label': 'positive', 'score': 0.8401890397071838}]"
16~8강,"[{'label': 'neutral', 'score': 0.9545097947120667}]","[{'label': 'neutral', 'score': 0.9980870485305786}]"
16~8강,"[{'label': 'neutral', 'score': 0.9541031122207642}]","[{'label': 'neutral', 'score': 0.9823931455612183}]"
16~8강,"[{'label': 'negative', 'score': 0.5950426459312439}]","[{'label': 'neutral', 'score': 0.9971908926963806}]"
16~8강,"[{'label': 'neutral', 'score': 0.9969910383224487}]","[{'label': 'negative', 'score': 0.9950354099273682}]"
16~8강,"[{'label': 'neutral', 'score': 0.9694850444793701}]","[{'label': 'neutral', 'score': 0.9489893913269043}]"
16~8강,"[{'label': 'neutral', 'score': 0.9977700710296631}]","[{'label': 'neutral', 'score': 0.9983205199241638}]"
16~8강,"[{'label': 'neutral', 'score': 0.9965196847915649}]","[{'label': 'neutral', 'score': 0.9990068078041077}]"
16~8강,"[{'label': 'neutral', 'score': 0.9872961044311523}]","[{'label': 'neutral', 'score': 0.9916565418243408}]"
16~8강,"[{'label': 'neutral', 'score': 0.9906344413757324}]","[{'label': 'neutral', 'score': 0.5061025619506836}]"
16~8강,"[{'label': 'neutral', 'score': 0.9846822023391724}]","[{'label': 'neutral', 'score': 0.9793164134025574}]"
16~8강,"[{'label': 'neutral', 'score': 0.8116846084594727}]","[{'label': 'neutral', 'score': 0.9985053539276123}]"
8강~4강,"[{'label': 'negative', 'score': 0.6424757242202759}]","[{'label': 'neutral', 'score': 0.9974830746650696}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9912546873092651}]","[{'label': 'neutral', 'score': 0.8766337037086487}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9889179468154907}]","[{'label': 'neutral', 'score': 0.9860395193099976}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9871721863746643}]","[{'label': 'neutral', 'score': 0.9988051652908325}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9721612334251404}]","[{'label': 'neutral', 'score': 0.9349966049194336}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9756373763084412}]","[{'label': 'neutral', 'score': 0.9972130656242371}]"
8강~4강,"[{'label': 'neutral', 'score': 0.952981173992157}]","[{'label': 'neutral', 'score': 0.9948773980140686}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9974645376205444}]","[{'label': 'neutral', 'score': 0.9989256262779236}]"
8강~4강,"[{'label': 'neutral', 'score': 0.8423863649368286}]","[{'label': 'neutral', 'score': 0.9751042127609253}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9700395464897156}]","[{'label': 'neutral', 'score': 0.9962568283081055}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9666332602500916}]","[{'label': 'neutral', 'score': 0.8942618370056152}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9017565250396729}]","[{'label': 'neutral', 'score': 0.9964675903320312}]"
8강~4강,"[{'label': 'neutral', 'score': 0.96162348985672}]","[{'label': 'neutral', 'score': 0.9974597096443176}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9947861433029175}]","[{'label': 'neutral', 'score': 0.9986274242401123}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9938848614692688}]","[{'label': 'neutral', 'score': 0.9906836748123169}]"
8강~4강,"[{'label': 'negative', 'score': 0.6396530270576477}]","[{'label': 'negative', 'score': 0.9805435538291931}]"
8강~4강,"[{'label': 'neutral', 'score': 0.8423863649368286}]","[{'label': 'neutral', 'score': 0.9751042127609253}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9777746200561523}]","[{'label': 'neutral', 'score': 0.9980080723762512}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9364139437675476}]","[{'label': 'neutral', 'score': 0.9925429821014404}]"
8강~4강,"[{'label': 'negative', 'score': 0.604509711265564}]","[{'label': 'neutral', 'score': 0.5467646718025208}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9981023669242859}]","[{'label': 'neutral', 'score': 0.9956798553466797}]"
8강~4강,"[{'label': 'neutral', 'score': 0.977310061454773}]","[{'label': 'neutral', 'score': 0.8359954953193665}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9659680128097534}]","[{'label': 'neutral', 'score': 0.9982277750968933}]"
8강~4강,"[{'label': 'negative', 'score': 0.7892332077026367}]","[{'label': 'negative', 'score': 0.5182845592498779}]"
8강~4강,"[{'label': 'neutral', 'score': 0.8592888712882996}]","[{'label': 'neutral', 'score': 0.9795728325843811}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9925794005393982}]","[{'label': 'neutral', 'score': 0.9896003007888794}]"
8강~4강,"[{'label': 'neutral', 'score': 0.7864867448806763}]","[{'label': 'neutral', 'score': 0.9974825978279114}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9979708790779114}]","[{'label': 'neutral', 'score': 0.9960812926292419}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9970665574073792}]","[{'label': 'neutral', 'score': 0.9795249700546265}]"
8강~4강,"[{'label': 'neutral', 'score': 0.684984028339386}]","[{'label': 'neutral', 'score': 0.9990560412406921}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9891703724861145}]","[{'label': 'neutral', 'score': 0.6952218413352966}]"
8강~4강,"[{'label': 'positive', 'score': 0.9558302164077759}]","[{'label': 'neutral', 'score': 0.9956472516059875}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9411858916282654}]","[{'label': 'neutral', 'score': 0.9981460571289062}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9916425943374634}]","[{'label': 'neutral', 'score': 0.997514009475708}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9918952584266663}]","[{'label': 'neutral', 'score': 0.8193013072013855}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9927611351013184}]","[{'label': 'neutral', 'score': 0.5208771824836731}]"
8강~4강,"[{'label': 'neutral', 'score': 0.993887722492218}]","[{'label': 'neutral', 'score': 0.995425283908844}]"
8강~4강,"[{'label': 'neutral', 'score': 0.97788006067276}]","[{'label': 'neutral', 'score': 0.9956728219985962}]"
8강~4강,"[{'label': 'negative', 'score': 0.9533258676528931}]","[{'label': 'neutral', 'score': 0.5392846465110779}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9988119602203369}]","[{'label': 'neutral', 'score': 0.9986196756362915}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9889117479324341}]","[{'label': 'neutral', 'score': 0.9713015556335449}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9824153780937195}]","[{'label': 'neutral', 'score': 0.9876871705055237}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9786936044692993}]","[{'label': 'neutral', 'score': 0.9939070343971252}]"
8강~4강,"[{'label': 'neutral', 'score': 0.992664635181427}]","[{'label': 'neutral', 'score': 0.9991503953933716}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9986756443977356}]","[{'label': 'neutral', 'score': 0.8695389032363892}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9830799102783203}]","[{'label': 'neutral', 'score': 0.9939923882484436}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9407567977905273}]","[{'label': 'negative', 'score': 0.7221142053604126}]"
8강~4강,"[{'label': 'neutral', 'score': 0.8503440022468567}]","[{'label': 'neutral', 'score': 0.9927555918693542}]"
8강~4강,"[{'label': 'neutral', 'score': 0.9988865256309509}]","[{'label': 'neutral', 'score': 0.9991503953933716}]"
